code,name,market,theme,gics_sector,is_candidate,algo_role,source_discovered,aum_billion,expense_ratio_pct,added_date,note
AIQ,AI综合,美股,AI综合,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,AI/机器人主题
ARKF,ARK金融创新,美股,金融创新,Financials 金融;Information Technology 科技,true,L2_theme,notion_curation,,,,ARK Fintech Innovation
ARKG,基因革命,美股,基因革命,Health Care 医疗,true,L3_theme_expand,notion_curation,,,,生物科技主题
ARKK,ARK创新总,美股,创新破坏,Information Technology 科技,true,L2_theme,notion_curation,,,,ARK 旗舰创新
ARKW,ARK互联网,美股,互联网创新,Communication Services 通信;Information Technology 科技,true,L2_theme,notion_curation,,,,ARK Next Gen Internet
ARKX,太空探索,美股,太空探索,Industrials 工业,true,L3_theme_expand,notion_curation,,,,太空/国防
BLOK,区块链综合,美股,区块链,Information Technology 科技;Financials 金融,true,L2_theme,notion_curation,,,,区块链生态公司
BOTZ,AI机器人,美股,AI机器人,Information Technology 科技;Industrials 工业,true,L3_theme_expand,notion_curation,,,,AI/机器人主题
CIBR,网络安全2,美股,网络安全,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,网络安全主题
COPX,铜矿,美股,铜矿,Materials 材料,true,L2_theme,notion_curation,,,,全球铜矿龙头
DIA,道琼斯30,美股,大盘基准,,false,benchmark,notion_curation,,,,道琼斯 30 蓝筹基准
DRIV,自动驾驶EV,美股,自动驾驶EV,Consumer Discretionary 可选消费;Information Technology 科技,true,L3_theme_expand,notion_curation,,,,AI/机器人主题
EEM,新兴市场,美股,新兴市场,,true,L2_theme,notion_curation,,,,MSCI 新兴市场宽基
ESPO,游戏电竞,美股,游戏电竞,Communication Services 通信,true,L2_theme,notion_curation,,,,游戏 + 电竞主题
EWJ,日本股,美股,日本,,true,L2_theme,notion_curation,,,,MSCI 日本
FDN,互联网基础,美股,互联网,Communication Services 通信;Consumer Discretionary 可选消费,true,L3_theme_expand,notion_curation,,,,互联网基础
FINX,金融科技,美股,金融科技,Financials 金融;Information Technology 科技,true,L3_theme_expand,notion_curation,,,,金融科技主题
FIW,水资源,美股,水资源,Utilities 公用事业;Industrials 工业,true,L2_theme,notion_curation,,,,水处理 + 水务
FXI,中国大盘,美股,中国股,,true,L2_theme,notion_curation,,,,FTSE 中国 50 · 备选
GDX,金矿龙头,美股,贵金属矿业,Materials 材料,true,L2_theme,notion_curation,,,,大金矿股龙头
GDXJ,初级金矿,美股,贵金属矿业,Materials 材料,true,L2_theme,notion_curation,,,,小金矿高弹性 · 备选
GLD,黄金,美股,宏观对冲,,false,macro_hedge,notion_curation,,,,宏观对冲不入算法 · 黄金避险
HACK,网络安全,美股,网络安全,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,网络安全主题
HERO,视频游戏,美股,游戏电竞,Communication Services 通信,true,L2_theme,notion_curation,,,,视频游戏纯做 · 备选
IBB,生物科技,美股,生物科技大盘,Health Care 医疗,true,L3_theme_expand,notion_curation,,,,生物科技主题
IBIT,比特币现货,美股,加密货币,Financials 金融,true,L2_theme,notion_curation,,,,iShares 比特币现货 ETF
ICLN,清洁能源,美股,清洁能源综合,Utilities 公用事业;Information Technology 科技,true,L3_theme_expand,notion_curation,,,,清洁能源主题
IGV,企业软件,美股,企业软件,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,软件/云计算
IHI,医疗设备,美股,医疗设备,Health Care 医疗,true,L2_theme,notion_curation,,,,医疗器械龙头
